epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,18523.5,1.41004,1.60981,1.35721,1.44707,0,0.59184,0.62821,0.62878,0.36115,0.61768,0.62642,0.63917,0.24856,1.41384,1.60263,1.31614,1.45836,0,0.001076,0.001076,0.001076
30,19161,1.40346,1.61129,1.35561,1.45369,0,0.57917,0.59653,0.58955,0.3467,0.58487,0.58996,0.59993,0.23183,1.40633,1.64845,1.48555,1.46988,0,0.001043,0.001043,0.001043
31,19797.8,1.39089,1.60718,1.34096,1.45611,0,0.58648,0.61327,0.62089,0.3655,0.60505,0.62642,0.62819,0.24955,1.39847,1.61926,1.3275,1.45698,0,0.00101,0.00101,0.00101
32,20435.3,1.38064,1.59818,1.35012,1.44865,0,0.6099,0.57442,0.58738,0.3353,0.63251,0.56426,0.59058,0.22872,1.43311,1.6482,1.48676,1.48886,0,0.000977,0.000977,0.000977
33,21071.2,1.38494,1.60602,1.3623,1.44466,0,0.56283,0.52241,0.53443,0.30741,0.58816,0.52328,0.54089,0.21228,1.4318,1.66225,1.67237,1.48591,0,0.000944,0.000944,0.000944
34,21708.3,1.36391,1.60074,1.31494,1.4306,0,0.58528,0.62762,0.63217,0.37026,0.60639,0.62941,0.63031,0.23769,1.40037,1.60855,1.29486,1.46033,0,0.000911,0.000911,0.000911
35,22344.6,1.3646,1.59,1.29687,1.42929,0,0.61172,0.6234,0.63303,0.36887,0.63367,0.62164,0.64546,0.25457,1.43288,1.60878,1.35454,1.49284,0,0.000878,0.000878,0.000878
36,22982.3,1.36615,1.58713,1.31731,1.43508,0,0.55009,0.58159,0.58081,0.34203,0.60111,0.53855,0.587,0.22834,1.42862,1.67031,1.5277,1.47577,0,0.000845,0.000845,0.000845
37,23620,1.34611,1.58129,1.28737,1.40908,0,0.59612,0.65272,0.64389,0.38242,0.61583,0.63897,0.64382,0.24828,1.36601,1.60655,1.30008,1.44289,0,0.000812,0.000812,0.000812
38,24257.4,1.33293,1.5831,1.29992,1.40934,0,0.62088,0.62453,0.64631,0.38604,0.63363,0.62702,0.65003,0.2607,1.35107,1.57571,1.27467,1.43734,0,0.000779,0.000779,0.000779
39,24894.7,1.33334,1.56862,1.28188,1.41334,0,0.62731,0.61566,0.64457,0.3805,0.6438,0.61147,0.65394,0.26227,1.37509,1.59995,1.27455,1.45168,0,0.000746,0.000746,0.000746
40,25531.7,1.32378,1.56481,1.26912,1.40433,0,0.60097,0.64913,0.63538,0.3769,0.61177,0.65272,0.64099,0.25309,1.36861,1.57249,1.27383,1.45769,0,0.000713,0.000713,0.000713
41,26168.6,1.31756,1.56352,1.2491,1.40847,0,0.60419,0.64614,0.64088,0.37919,0.62191,0.65511,0.65712,0.25299,1.39088,1.59173,1.27621,1.47579,0,0.00068,0.00068,0.00068
42,26804.9,1.32732,1.54868,1.25178,1.40398,0,0.60065,0.59414,0.60737,0.36317,0.61408,0.59445,0.61412,0.25063,1.36488,1.61531,1.47096,1.44069,0,0.000647,0.000647,0.000647
43,27442.4,1.30776,1.56281,1.25163,1.39697,0,0.63888,0.63873,0.66296,0.39308,0.64265,0.6568,0.66854,0.27202,1.3653,1.58443,1.24811,1.43915,0,0.000614,0.000614,0.000614
44,28080,1.31216,1.56252,1.25403,1.39939,0,0.62361,0.60191,0.64464,0.38174,0.64257,0.59773,0.65202,0.25733,1.35363,1.58013,1.28831,1.4226,0,0.000581,0.000581,0.000581
45,28717,1.30969,1.54894,1.23073,1.40835,0,0.62685,0.6346,0.66508,0.39529,0.64716,0.64077,0.67113,0.27114,1.36664,1.57861,1.24,1.44341,0,0.000548,0.000548,0.000548
46,29354.7,1.30881,1.56495,1.23224,1.39276,0,0.6229,0.65164,0.66367,0.39949,0.63661,0.66598,0.67441,0.27155,1.34312,1.56917,1.24542,1.43523,0,0.000515,0.000515,0.000515
47,29991.8,1.29123,1.54178,1.20606,1.37991,0,0.62651,0.61984,0.65257,0.38869,0.6397,0.62189,0.65471,0.25392,1.35325,1.59225,1.26643,1.43035,0,0.000482,0.000482,0.000482
48,30628.5,1.27479,1.55396,1.20144,1.3685,0,0.63438,0.62702,0.66354,0.39602,0.65904,0.63312,0.67095,0.26824,1.35566,1.58034,1.23,1.43976,0,0.000449,0.000449,0.000449
49,31265.4,1.26983,1.52628,1.21294,1.36399,0,0.61965,0.61925,0.65238,0.39434,0.63714,0.6324,0.66431,0.26534,1.33931,1.56856,1.24654,1.42136,0,0.000416,0.000416,0.000416
50,31902.8,1.28082,1.53688,1.20105,1.37785,0,0.64819,0.60571,0.66122,0.39831,0.65597,0.6086,0.66163,0.26165,1.33052,1.57589,1.24767,1.41392,0,0.000383,0.000383,0.000383
51,32539.3,1.27135,1.52649,1.19534,1.3678,0,0.63409,0.6306,0.67197,0.4052,0.66241,0.62104,0.6768,0.27247,1.34029,1.5742,1.22276,1.42284,0,0.00035,0.00035,0.00035
52,33177.2,1.25605,1.53521,1.17536,1.35921,0,0.60637,0.66288,0.66686,0.40307,0.61894,0.66647,0.66841,0.27732,1.31709,1.55288,1.23255,1.40992,0,0.000317,0.000317,0.000317
53,33815.3,1.24871,1.51732,1.17867,1.34991,0,0.62665,0.64973,0.67425,0.40237,0.63748,0.64794,0.67524,0.27363,1.34152,1.56778,1.22658,1.41843,0,0.000284,0.000284,0.000284
54,34452.3,1.24905,1.5304,1.161,1.35181,0,0.65509,0.62881,0.67446,0.40515,0.66638,0.6324,0.68051,0.2734,1.33324,1.55387,1.19957,1.42895,0,0.000251,0.000251,0.000251
55,35088.9,1.23518,1.51017,1.14647,1.35148,0,0.65149,0.6324,0.67376,0.40369,0.66477,0.63957,0.68168,0.27526,1.32255,1.5539,1.1911,1.4164,0,0.000218,0.000218,0.000218
56,35725.7,1.23307,1.51396,1.15383,1.34745,0,0.62239,0.65152,0.67237,0.40343,0.6362,0.6587,0.67508,0.27325,1.3291,1.55298,1.20991,1.40917,0,0.000185,0.000185,0.000185
57,36362.3,1.24164,1.50844,1.15284,1.34716,0,0.61793,0.64196,0.67079,0.40882,0.62954,0.64803,0.68139,0.27591,1.31764,1.54928,1.19402,1.40798,0,0.000152,0.000152,0.000152
58,36999.1,1.23602,1.51307,1.13326,1.33889,0,0.63114,0.6587,0.68129,0.41388,0.6689,0.64614,0.68933,0.27929,1.31042,1.55021,1.18558,1.40458,0,0.000119,0.000119,0.000119
59,37636.9,1.22493,1.50824,1.13251,1.34174,0,0.62292,0.64873,0.6786,0.41313,0.64353,0.64913,0.68802,0.28019,1.302,1.556,1.18749,1.39628,0,8.6e-05,8.6e-05,8.6e-05
60,38274.2,1.21307,1.49936,1.1257,1.32486,0,0.63891,0.63658,0.68044,0.41409,0.65615,0.64973,0.68983,0.28027,1.30838,1.54991,1.18189,1.39978,0,5.3e-05,5.3e-05,5.3e-05
